state,datacenter_name,metadata
Texas,2323 Bryan Street (DFW10),"Digital Realty | 2323 Bryan Street | 75201 | Dallas | Texas, | USA | 2323 Bryan Street is located in downtown Dallas and consists of over 477,000 square feet."
Texas,Flexential Dallas - Downtown Data Center,"Flexential | 1950 Stemmons Freeway | 75207 | Dallas | Texas, | USA | Flexential helps organizations optimize their journey of IT transformation while simultaneously balancing cost, scalability and security."
Texas,Datacenter Park - Dallas,"Digital Realty | 900-908 Quality Way | 75081 | Richardson | Texas, | USA | Please see the profile for further details about Datacenter Park - Dallas."
Texas,904 Quality Way (DFW21),"Digital Realty | 904 Quality Way | 75081 | Richardson | Texas, | USA | Please see the profile for further details about 904 Quality Way (DFW21)."
Texas,Digital Realty Garland Campus,"Digital Realty | 1702 W Campbell Rd / 1502 Ferris Rd / 1505 Ferris Rd | 75044 | Garland | Texas, | USA | Please see the profile for further details about Digital Realty Garland Campus."
Texas,908 Quality Way (DFW20),"Digital Realty | 908 Quality Way | 75081 | Richardson | Texas, | USA | Please see the profile for further details about 908 Quality Way (DFW20)."
Texas,1702 W Campbell Rd,"Digital Realty | 1702 W Campbell Rd | 75044 | Garland | Texas, | USA | Please see the profile for further details about 1702 W Campbell Rd."
Texas,1502 Ferris Rd,"Digital Realty | 1502 Ferris Rd | 75044 | Garland | Texas, | USA | Please see the profile for further details about 1505 Ferris Rd."
Texas,1505 Ferris Rd,"Digital Realty | 1505 Ferris Rd | 75044 | Garland | Texas, | USA | Please see the profile for further details about 1505 Ferris Rd."
Texas,GDC - Dallas TX1 Data Center,"NTT DATA, Inc. | 2008 Lookout Drive | 75044 | Garland | Texas, | USA | The Dallas TX1 Data Center offers 16MW of critical IT load and 118,000 sq. ft. of data hall space. TX1 can support deployments of all sizes, so it's ideal for turn-key and build-to-suit wholesale data center buyers."
Texas,CyrusOne DFW1 - Carrollton,"CyrusOne Data Centers | 1649 Frankfort Road West | 75007 | Carrollton | Texas, | USA | CyrusOne's 670,000-square-foot data center in Dallas/Carrollton is the largest facility of its kind in the state and one of the most energy-efficient in the United States. - See more at: http://www.cyrusone.com/data-center-locations/dallas-data-center-carrollton.php#sthash.WzrS5nqK.dpuf"
Texas,"IRVING-TX (Dallas, Texas)","Cloudnium LLC. | 6001 W Campus Circle | 75063 | Irving city | Texas, | USA | Enterprise Irving, Texas -  Dallas Datacenter offers a robust infrastructure"
Texas,Prime Dallas Data Center Campus,"Prime Data Centers | 1515 Round Table | 75247 | Dallas | Texas, | USA | Prime Data Centers brings a focus on connectivity and sustainability to their Dallas data center campus.  Featuring two facilities spanning 19 critical megawatts, the campus is designed to support the dynamic growth of technology-driven organizations within the region."
Texas,CyrusOne DFW3 - Allen,"CyrusOne Data Centers | 2300 Chelsea Blvd | 75013 | Allen | Texas, | USA | Strategically located in Allen, Texas, CyrusOne’s newest Dallas DFW3 data center is 976,000 square feet and contains 580,000 square feet of raised floor/white space at full build-out."
Texas,TierPoint Dallas,"TierPoint | 3004 Irving Blvd | 75247 | Dallas | Texas, | USA | TierPoint's award-winning facility is an enterprise-class data center with fully redundant 2N architecture."
Texas,CyrusOne DFW2 - Lewsiville,"CyrusOne Data Centers | 2501 S. State Hwy 121 Business | 75067 | Lewsiville | Texas, | USA | CyrusOne specializes in enterprise data center colocation, offering the highest power redundancy (2N architecture) and highest power-density infrastructure, supporting 250+ watts per square foot across the entire data center floor"
Texas,DataBank DFW1 - Downtown Dallas,"DataBank | 400 S Akard St | 75202 | Dallas | Texas, | USA | DataBank is a leading provider of premium enterprise-class managed data center space and colocation services. We provide the most reliable and secure, fault tolerant environments available."
Texas,Equinix DA1,"Equinix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | Dallas data centers DA1, one of Equinix's original International Business Exchange™ locations, serves a number of telecommunications companies with premium colocation services."
Texas,Equinix DA6,"Equinix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | Dallas DA6 data centre and International Business Exchange (IBX) supports growing enterprise ecosystems with accelerated deployment of virtual and cloud solutions."
Texas,CoreSpace Dallas Data Center,"CoreSpace, Inc. | 7505 John W Carpenter Freeway | 75247 | Dallas | Texas, | USA | CoreSpace is the most SMB focused hosting provider with HIPAA/PCI options and a leader in the industry without sacrificing the quality demanded by our customers."
Texas,Centersquare - Dallas DFW3-A,"Csquare | 11830 Webb Chapel Rd. | 75234 | Dallas | Texas, | USA | Evoque Dallas/Webb Chapel is conveniently located in the Dallas metroplex, just off I-635 (Lyndon B. Johnson Freeway) and within 15 miles of both Love Field and DFW airports."
Texas,DataBank DFW2 - North Dallas,"DataBank | 904 Quality Way | 75801 | Dallas | Texas, | USA | DataBank is a leading provider of premium enterprise-class managed data center space and colocation services. We provide the most reliable and secure, fault tolerant environments available."
Texas,Alpha Data Center,"M&A Technology Inc. | 4407 Alpha Road | 75244 | Dallas | Texas, | USA | N+1 Stand alone recently renovated Data Center: 2 data rooms; 8 fibre carriers; up to 30KW per cabinet; 3.0MW available; 4 x 1,200 amp 480v AC service and 500kva 48v DC service distributed. 390 Tons cooling"
Texas,Tierpoint Dallas-Allen,"TierPoint | 820 Allen Commerce Parkway | 75013 | Allen | Texas, | USA | New facility with dark fiber connectivity to TierPoint's data center in DFW and the Dallas Infomart"
Texas,Equinix DA2,"Equinix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | Dallas data centers DA2, one of Equinix's original International Business Exchange™ locations, serves a number of telecommunications companies with premium colocation services."
Texas,Equinix DA11,"Equinix | 1990 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | The premier new facility provides connectivity to extensive ecosystems to meet the demand for network exchange services in downtown Dallas, a premium interconnection market."
Texas,Prime Dallas - Data Center 1,"Prime Data Centers | 1515 Round Table | 75247 | Dallas | Texas, | USA | Prime Dallas (1) is a 7.5-megawatt (critical), purpose-built data center in Dallas, Texas."
Texas,Evocative DAL6,"Evocative Data Centers | 1221 Coit Road | 75075 | Plano | Texas, | USA | NAP's full-spectrum portfolio of high-density colocation, managed cloud hosting and network solutions supports evolving IT infrastructure requirements for customers ranging from the Fortune 500 to emerging startups."
Texas,TierPoint Dallas - Fort Worth,"TierPoint | 13701 Independence | 76177 | Fort Worth | Texas, | USA | Just minutes from DFW International Airport, TierPoint's Dallas-Fort Worth data center showcases cutting-edge design and innovation, offering flexibility to meet the diverse needs of businesses - from server racks to high-density cabinets for high-performance/GPU compute requirements."
Texas,Cogent Data Center - Dallas,"Cogent Communications, Inc. | 400 S. Akard St | 75202 | Dallas | Texas, | USA | Cogent's Dallas Data Center. More information is available under the full description."
Texas,Prime Dallas - Data Center 2,"Prime Data Centers | 1517 Round Table | 75247 | Dallas | Texas, | USA | Prime Dallas (2) is a 12-megawatt (critical), purpose-built data center in Dallas, Texas. The second of two planned campus data centers, this facility offers sustainable wholesale data center capacity and high-density cooling capability for modern workloads like AI."
Texas,Centersquare - Dallas DFW2-A,"Csquare | 900 Guardians Way | 75013 | Dallas | Texas, | USA | Our Allen, TX data center is located in the Dallas-Fort Worth metro area, just 20 miles north of Dallas and with easy access to both DFW International Airport and Dallas Love Field Airport."
Texas,VAZATA Dallas I,"VAZATA | 4025 Midway Road | 75007 | Carrollton | Texas, | USA | This metro Dallas facility is ideal for companies seeking high availability and high density colocation solutions to support their mission critical IT production workloads or disaster recovery needs."
Texas,DataBank DFW5 - Dallas Infomart,"DataBank | 1950 Stemmons Fwy | 75207 | Dallas | Texas, | USA | The Infomart is one of DataBank's interconnect focused data centers in Dallas, TX, the 4th largest market in the US."
Texas,GDC - Dallas TX4 Data Center,"NTT DATA, Inc. | 2011 Lookout Drive | 75044 | Garland | Texas, | USA | NTT DATA’s TX4 Data Center in Dallas will deliver 36MW of AI-ready, high-density IT capacity with advanced cooling, robust security, and carrier-neutral connectivity for scalable enterprise workloads."
Texas,GDC - Dallas TX2 Data Center,"NTT DATA, Inc. | 2108 Lookout Drive | 75044 | Garland | Texas, | USA | NTT DATA’s Dallas TX2 Data Center in Dallas offers 229,500 sq ft of scalable, energy-efficient infrastructure for high-performance enterprise and AI workloads within a 124MW campus."
Texas,Equinix DA3,"Equinix | 1950 North Stemmons Freeway | 75207 | Dallas | Texas, | USA | Equinix helps companies accelerate business performance by connecting them to their customers and partners inside the world´€™s most networked data centers."
Texas,Aligned DFW-01,"Aligned Data Centers | 2800 Summit Avenue | 75074 | Plano | Texas, | USA | 375,000 square feet facility constructed in the 1980s, retrofitted to a data center in 2015 and expanded in 2019. 60 MW of power capacity."
Texas,Edged Dallas-Fort Worth DFW01-1,"Edged Energy | 505 N Wildwood Dr | 75061 | Irving | Texas, | USA | The Edged Dallas Data Center is a cutting-edge facility located in Irving, Texas. It spans a vast 162,545 square feet and is a shining example of modern data center design."
Texas,Serverphase Data Center,"M&A Technology Inc. | 2045 Chenault Drive | 75006 | Carrollton | Texas, | USA | Full service data center hosting and management services - co-location, dedicated, shared, managed, virtual and cloud services available - www.serverphase.com"
Texas,DataBank DFW3 - Plano,"DataBank | 8375 Dominion Pkwy | 75024 | Plano | Texas, | USA | DataBank’s DFW3 Plano data center anchors their campus in Plano TX. This Uptime Certified Tier III data center offers network availability to multiple dark fiber providers and houses nodes for all DataBank’s cloud services."
Texas,Resilience DFW,"Overwatch Capital | 6815 Communications Pkwy | 75024 | Plano | Texas, | USA | Overwatch Capital has acquired a 150,000-square-foot data center facility in Legacy West, Plano, Texas, now named Resilience DFW."
Texas,DataBank DFW6 - Dallas Love Field,"DataBank | 8600 Harry Hines Blvd | 75235 | Dallas | Texas, | USA | 8600 Harry Hines is one of DataBanks interconnect-focused data centers in Dallas, TX."
Texas,DataBank DFW7 - Dallas LBJ,"DataBank | 6606 Lyndon B Johnson Fwy | 75240 | Dallas | Texas, | USA | DFW7 - Great Location, Carrier Neutral, Complete Redundancy, Office Space Available"
Texas,365 Data Centers - Richardson,"365 Data Centers | 1001 East Campbell Road | 75081 | Richardson | Texas, | USA | Our Richardson data center offers a robust infrastructure design built for resiliency — including 2N UPS, generators, and chiller systems."
Texas,VAZATA McKinney,"VAZATA | 1720 Bray Central Dr | 75069 | McKinney | Texas, | USA | The McKinney Data Center by VAZATA is a premier colocation facility located in McKinney, Texas. It offers 5,000 square feet of Tier II data center space with Tier III attributes, ensuring high availability and reliability."
Texas,ScaleMatrix Dallas,"ScaleMatrix | 820 Allen Commerce Pkwy | 75013 | Allen | Texas, | USA | ScaleMatrix's Dallas Data Center, known as US-South 01, presents a strategic nexus for businesses seeking a central U.S. presence with competitive utility rates and seamless access to Texas' diverse vertical industries."
Texas,Evocative DAL1,"Evocative Data Centers | 2800 Summit Ave | 75074 | Plano | Texas, | USA | Our Plano data center can seamlessly handle flexible labs and high-density computing requirements alongside mission critical compliant colocation services, enabling us to serve Fortune 500 and international companies as well as some leading Internet brands."
Texas,Provision Data Services,"Provision Data Services | 2020 Live Oak | 75201 | Dallas | Texas, | USA | As the newest Tier 3 data center in downtown Dallas, Provision Data Services offers 125,000 square feet, 12 carriers for connectivity, and 14 Megawatt capacity for wholesale and retail colocation space.  PDS also offers build to suit office suites."
Texas,Rackspace Dallas 2,"Rackspace Hosting | 1215 Integrity Drive | 75081 | Richardson | Texas, | USA | Rackspace Richardson Data Center offers a strategic location within a major Texas technology hub, providing businesses with reliable infrastructure, robust connectivity, and exceptional customer service."
Texas,24 Hour Data Plano,"24 Hour Data | 811 E Plano Pkwy | 75074 | Plano | Texas, | USA | One of the only Clean Room Laboratories and Data Centers in North Texas, 24 Hour Data partners with other data centers to offer comprehensive data recovery services."
Texas,Equinix DA7,"Equinix | 6653 Pinecrest Dr | 75024 | Plano | Texas, | USA | DA7, our newest location in the Dallas metro, is the latest strategic facility where enterprises are deploying key components of their interconnection infrastructure."
Texas,GDC - Dallas TX3 Data Center,"NTT DATA, Inc. | 2080 Lookout Drive | 75044 | Garland | Texas, | USA | TX3 offers 36MW of critical IT load and is directly connected to a dense fiber network"
Texas,Stream DC DFW VII - Garland,"Stream Data Centers | 1813 Lookout Drive | 75044 | Garland | Texas, | USA | Stream Data Centers' newly constructed DFW VII facility is an expandable 138,132 SF data center with a new on-site Oncor substation and dual (2) dedicated underground 40 MW utility feeds, predesigned to support full capacity of the campus. Space immediately available! Schedule a tour today."
Texas,STACK Infrastructure DFW02 Campus,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK's massive, future-proof DFW02 campus delivers hyperscale capacity and AI-readiness in booming Dallas."
Texas,Infomart Dallas,"Equinix | 1950 N. Stemmons Freeway | 75207 | Dallas | Texas, | USA | One of the largest buildings in Dallas and the primary hubspot for data centers and connectivity in Dallas. Owned by Equinix, but home to many other data center operators as well."
Texas,Stream DC DFWC - Wilmer II Campus,"Stream Data Centers | 930 Sunrise Rd, Lancaster, TX , USA | 75146 | Wilmer | Texas, | USA | The Wilmer II campus is designed to support up to 240MW of IT load across 1.4 million square feet, backed by a dedicated 372MW Oncor substation."
Texas,STACK Infrastructure DFW01A,"STACK INFRASTRUCTURE | 6653 Pinecrest Dr | 75024 | Plano | Texas, | USA | Located in Plano, DFW01A provides robust connectivity and low-latency access to major interconnection hubs that make this region a popular location for major hyperscale and enterprise data center development."
Texas,STACK Infrastructure DFW01B,"STACK INFRASTRUCTURE | 6715 Pinecrest Dr | 75024 | Plano | Texas, | USA | DFW01B is directly adjacent to DFW01A and provides resilient, secure infrastructure with plenty of connectivity and power for immediate and long-term scale."
Texas,CoreWeave Plano,"CoreWeave | 1000 Coit Rd | 75075 | Plano | Texas, | USA | Please see the profile for further details about CoreWeave Plano."
Texas,DigiCo Dallas DAL1,"DigiCo Infrastructure REIT | 1402 E Lookout Dr | 75082 | Richardson | Texas, | USA | The DAL1 is a purpose-built Enterprise Data Centre with investment grade tenancy and a long-term lease in place. The data centre totals approximately 11,015 square metres of NLA with 4.5MW of Installed IT Capacity and 3,716 square metres of white space."
Texas,Stream DC DFWC1,"Stream Data Centers | 930 N Sunrise Rd | 75172 | Wilmer | Texas, | USA | Known as DFWC1, the two-story data center will span 360,750 square feet and deliver 48MW of IT capacity. Construction is scheduled to begin in April 2026 and conclude by October 2027, with a total investment of $300 million."
Texas,DataBank DFW4 - Dallas Empire,"DataBank | 1100 Empire Central Place | 75247 | Dallas | Texas, | USA | Conveniently located between the Dallas/Fort Worth Airport and downtown Dallas, the DFW4 data center provides N+1 power design and N+1 cooling for maximum uptime assurance."
Texas,Cogent Data Center - Irving,"Cogent Communications, Inc. | 2511 E Grauwyler Rd | 75061 | Irving | Texas, | USA | Please see the profile for further details about Cogent Data Center - Irving."
Texas,ColoCrossing DFW1,"ColoCrossing | 3004 Irving Blvd | 75247 | Dallas | Texas, | USA | The DFW1 datacenter provides ColoCrossing the flexibility to easily accommodate high-density private cabinets and cages with highly reliable power and cooling infrastructure."
Texas,ColoHouse Dallas,"ColoHouse | 1649 West Frankford Road | 75007 | Dallas | Texas, | USA | The 670,000-square-foot facility offers 400,000 colocation square feet (CSF) and 60,000 square feet of work-area recovery space."
Texas,QTS Irving Campus,"QTS Data Centers | 6431 Longhorn Drive | 75063 | Irving | Texas, | USA | QTS Mega Data Center campus featuring strategic central location ensures optimal, fiber-rich connectivity coast-to-coast."
Texas,Equinix DA4,"Equinix | 2323 Bryan St | 75201 | Dallas | Texas, | USA | Equinix helps companies accelerate business performance by connecting them to their customers and partners inside the world´€™s most networked data centers."
Texas,Neutron Data Center,"M&A Technology Inc. | 13616 Neutron Road | 75244 | Dallas | Texas, | USA | M&A owned and operated data centers provide personalized security, hosting, colocation, backup, business continuity, and other tailored solutions to meet your business needs."
Texas,Epic.io Dallas Data Center,"Epic.io | 1526 Viceroy Dr | 75235 | Dallas | Texas, | USA | This location leverages industry-leading security, redundancy, and power with 24/7 support and access."
Texas,Cogent Data Center - Fort Worth,"Cogent Communications, Inc. | 1400 E Presidio St | 76102 | Fort Worth | Texas, | USA | Please see the profile for further details about Cogent Data Center - Fort Worth."
Texas,GIPNetworks Plano,"Plano Data Center | Global IP Networks | 1009 Jupiter Rd | 75074 | Plano | Texas, | USA | Plano Data Center, offering rack space, cabinet and cage colocation. Located in East Plano, our data center is SAS 70 Type II, PCI and HIPAA Compliant with redundant network, UPS, generator and 24/7 onsite staff."
Texas,5CDC Dallas-Fort Worth - DFW01,"5C Group Inc. | 1201 John Burgess Dr | 76140 | Fort Worth | Texas, | USA | Please see the profile for further details about 5CDC Dallas-Fort Worth - DFW01."
Texas,STACK Infrastructure DFW02C,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02C data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,VAZATA Dallas II,"VAZATA | 2440 Marsh Lane | 75007 | Carrollton | Texas, | USA | This metro Dallas facility is ideal for companies seeking high availability and high density colocation solutions to support their mission critical IT production workloads or disaster recovery needs."
Texas,STACK Infrastructure DFW02A,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02A data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,STACK Infrastructure DFW02E,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02E data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,STACK Infrastructure DFW02F,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02F data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,STACK Infrastructure DFW02D,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02D data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,STACK Infrastructure DFW02B,"STACK INFRASTRUCTURE | E Belt Line Road | 75146 | Lancaster | Texas, | USA | STACK Infrastructure's DFW02B data center is part of the DFW02 campus, offering 36MW of flexible capacity."
Texas,CyrusOne DFW10 - Whitney,"CyrusOne Data Centers | 557 County Rd 3610 | 76692 | Whitney | Texas, | USA | CyrusOne is set to expand its presence in Texas with a new data center project outside the Dallas-Fort Worth area. The planned facility, known as DFW10, will be located in Whitney, Bosque County. This single-story data center will cover 250,000 square feet and include a two-story office component."
Texas,Equinix DA9,"Equinix | 2222 East Grauwyler Road | 75061 | Irving | Texas, | USA | DA9, our newest location in Irving, TX, is the ideal site for customers with large deployments built to handle data growth."
Texas,Vantage Frontier - Shackelford County,"Vantage Data Centers | TX-351 & Farm to Market Road 604 | 79601 | Abilene | Texas, | USA | Vantage Data Centers is planning a hyperscale campus in Shackelford County, Texas, marking one of the region’s most ambitious infrastructure projects to date. The proposed development spans approximately 1,200 acres, with construction expected to begin in late 2025 and continue through 2029."
Texas,STACK Infrastructure DFW01C,"STACK INFRASTRUCTURE | 5601 W Spring Creek Pkwy | 75024 | Plano | Texas, | USA | DFW01C is an expansion facility within STACK Infrastructure’s DFW01 campus in Plano, Texas. This facility will contribute an additional 48 megawatts of critical IT capacity, complementing the campus’s existing 80MW delivered across three buildings and 45 acres"
Texas,DataBank DFW10 - Red Oak,"DataBank | Batchler Rd & Stainback Rd | 75154 | Red Oak | Texas, | USA | This new two-story data center will cover 425,170 square feet and is part of a $256 million project scheduled to run from February 2025 to August 2028."
Texas,DataBank DFW8 - Plano,"DataBank | 8375 Dominion Pkwy | 75024 | Plano | Texas, | USA | DataBank's DFW8 Plano data center is an attached expansion to the DFW3 facility. This Tier III data center offers network availability to multiple dark fiber providers with access to  DataBank's cloud services."
Texas,DataBank DFW9 - Red Oak,"DataBank | Batchler Rd & Stainback Rd | 75154 | Red Oak | Texas, | USA | Please see the profile for further details about DataBank DFW9."
Texas,QTS Fort Worth 1 DC1,"QTS Data Centers | 14100 Park Vista Boulevard | 76177 | Fort Worth | Texas, | USA | QTS is a leading provider of data center solutions across a diverse footprint spanning more than 6M SF of owned mega scale data center space to more than 1,100 leading Hyperscale technology companies, enterprises, and government entities."
Texas,Centersquare - Dallas DFW1,"Csquare | 14901 FAA Blvd | 76155 | Fort Worth | Texas, | USA | Cyxtera Technologies combines a worldwide footprint of 50+ best-in-class data centers with a portfolio of modern, cloud- and hybrid-ready security and analytics offerings."
Texas,QTS Irving DC1 & DC2,"QTS Data Centers | 6431 Longhorn Drive | 75063 | Irving | Texas, | USA | QTS is a leading provider of data center solutions across a diverse footprint spanning more than 6M SF of owned mega scale data center space to more than 1,100 leading Hyperscale technology companies, enterprises, and government entities."
Texas,CyrusOne DFW17C - Whitney,"CyrusOne Data Centers | 557 County Rd 3610 | 76692 | Whitney | Texas, | USA | CyrusOne DFW17C - Whitney is a 93,320 sq ft data center in Whitney, Texas, with development scheduled from February 2026 to April 2027, representing a $430 million investment."
Texas,Cisco Allen Data Center,"Cisco Systems | 2260 Chelsea Blvd | 75013 | Allen | Texas, | USA | Please see the profile for further details about Cisco Allen."
Texas,CyrusOne DFW17B - Whitney,"CyrusOne Data Centers | 557 County Rd 3610 | 76692 | Whitney | Texas, | USA | CyrusOne DFW17B is a 249,090 sq ft data center in Whitney, Texas, part of a $500m project with development scheduled from January 2026 to April 2027."
Texas,KDC Richardson,"KDC | 1510 E Lookout Dr | 75082 | Richardson | Texas, | USA | This center boasts a robust 130,000 square feet of space designed to cater to high-density computing needs with a focus on sustainability and efficiency."
Texas,Aligned DFW-04,"Aligned Data Centers | 601 North Star Rd | 75074 | Plano | Texas, | USA | Aligned DFW‑04 is a planned $161 million data center at Aligned’s existing Plano, Texas campus. The facility will span about 425,500 sq ft and is scheduled for construction from October 2025 to October 2026."
Texas,Riot Platforms Corsicana,"Riot Platforms, Inc. | 6980 Farm to Market Rd 709 | 75110 | Corsicana | Texas, | USA | Riot Platforms’ Corsicana Facility is a large-scale Bitcoin mining campus located in Navarro County, Texas. The project spans a 265-acre site and is designed for a total capacity of 1 gigawatt (GW)."
Texas,Tier.Net Dallas Data Center,"TierNet | 1515 Round Table Dr | 75247 | Dallas | Texas, | USA | Businesses from all over the world depend on us for fast and reliable hosting services. You can count on us too!"
Texas,Equinix DA12-2,"Equinix | 1550 W Mockingbird Ln | 75235 | Dallas | Texas, | USA | Equinix DA12-2 is a data center located in Dallas, Texas, USA, with an investment of $293.7 million for its development."
Texas,CyrusOne DFW11 - Whitney,"CyrusOne Data Centers | 557 County Rd 3610 | 76692 | Whitney | Texas, | USA | CyrusOne DFW11 - Whitney is an 88,875 sq ft single-story data center located in Whitney, Texas, part of the Dallas market, with initial fit-out expected in August 2027."
Texas,CyrusOne DFW17 - Whitney,"CyrusOne Data Centers | 557 County Rd 3610 | 76692 | Whitney | Texas, | USA | CyrusOne DFW17 - Whitney is an 88,875 sq ft single-story data center in Whitney, Texas, part of a $375 million development with construction scheduled from October 2025 to December 2026."
Texas,Edged Dallas-Fort Worth DFW01-2,"Edged Energy | N Wildwood Dr | 75061 | Irving | Texas, | USA | Edged Dallas-Fort Worth DFW01-2 is a 24MW data center in Irving, Texas, featuring a waterless cooling system for high-density AI infrastructure."
Texas,Cogent Data Center - Dallas 2,"Cogent Communications, Inc. | 146 Parkhouse St | 75207 | Dallas | Texas, | USA | Cogent's Dallas 2 Data Center provides a secure and reliable environment for your data needs. Spanning 8,192 square feet, this facility is equipped with 42U cabinets and offers multiple power options, including UPS and backup generators."
